SEASON,GAME_DATE,MATCHUP,WL,PTS,OPP_PTS,POINT_DIFF,WIN
2023-24,2023-10-25,MIN @ TOR,L,94,97.0,-3.0,0
2023-24,2023-10-28,MIN vs. MIA,W,106,90.0,16.0,1
2023-24,2023-10-30,MIN @ ATL,L,113,127.0,-14.0,0
2023-24,2023-11-01,MIN vs. DEN,W,110,89.0,21.0,1
2023-24,2023-11-04,MIN vs. UTA,W,123,95.0,28.0,1
2023-24,2023-11-06,MIN vs. BOS,W,114,109.0,5.0,1
2023-24,2023-11-08,MIN vs. NOP,W,122,101.0,21.0,1
2023-24,2023-11-10,MIN @ SAS,W,117,110.0,7.0,1
2023-24,2023-11-12,MIN @ GSW,W,116,110.0,6.0,1
2023-24,2023-11-14,MIN @ GSW,W,104,101.0,3.0,1
2023-24,2023-11-15,MIN @ PHX,L,115,133.0,-18.0,0
2023-24,2023-11-18,MIN @ NOP,W,121,120.0,1.0,1
2023-24,2023-11-20,MIN vs. NYK,W,117,100.0,17.0,1
2023-24,2023-11-22,MIN vs. PHI,W,112,99.0,13.0,1
2023-24,2023-11-24,MIN vs. SAC,L,111,124.0,-13.0,0
2023-24,2023-11-26,MIN @ MEM,W,119,97.0,22.0,1
2023-24,2023-11-28,MIN vs. OKC,W,106,103.0,3.0,1
2023-24,2023-11-30,MIN vs. UTA,W,101,90.0,11.0,1
2023-24,2023-12-02,MIN @ CHA,W,123,117.0,6.0,1
2023-24,2023-12-06,MIN vs. SAS,W,102,94.0,8.0,1
2023-24,2023-12-08,MIN @ MEM,W,127,103.0,24.0,1
2023-24,2023-12-11,MIN @ NOP,L,107,121.0,-14.0,0
2023-24,2023-12-14,MIN @ DAL,W,119,101.0,18.0,1
2023-24,2023-12-16,MIN vs. IND,W,127,109.0,18.0,1
2023-24,2023-12-18,MIN @ MIA,W,112,108.0,4.0,1
2023-24,2023-12-20,MIN @ PHI,L,113,127.0,-14.0,0
2023-24,2023-12-21,MIN vs. LAL,W,118,111.0,7.0,1
2023-24,2023-12-23,MIN @ SAC,W,110,98.0,12.0,1
2023-24,2023-12-26,MIN @ OKC,L,106,129.0,-23.0,0
2023-24,2023-12-28,MIN vs. DAL,W,118,110.0,8.0,1
2023-24,2023-12-30,MIN vs. LAL,W,108,106.0,2.0,1
2023-24,2024-01-01,MIN @ NYK,L,106,112.0,-6.0,0
2023-24,2024-01-03,MIN vs. NOP,L,106,117.0,-11.0,0
2023-24,2024-01-05,MIN @ HOU,W,122,95.0,27.0,1
2023-24,2024-01-07,MIN @ DAL,L,108,115.0,-7.0,0
2023-24,2024-01-09,MIN @ ORL,W,113,92.0,21.0,1
2023-24,2024-01-10,MIN @ BOS,L,120,127.0,-7.0,0
2023-24,2024-01-12,MIN vs. POR,W,116,93.0,23.0,1
2023-24,2024-01-14,MIN vs. LAC,W,109,105.0,4.0,1
2023-24,2024-01-17,MIN @ DET,W,124,117.0,7.0,1
2023-24,2024-01-18,MIN vs. MEM,W,118,103.0,15.0,1
2023-24,2024-01-20,MIN vs. OKC,L,97,102.0,-5.0,0
2023-24,2024-01-22,MIN vs. CHA,L,125,128.0,-3.0,0
2023-24,2024-01-24,MIN @ WAS,W,118,107.0,11.0,1
2023-24,2024-01-25,MIN @ BKN,W,96,94.0,2.0,1
2023-24,2024-01-27,MIN @ SAS,L,112,113.0,-1.0,0
2023-24,2024-01-29,MIN @ OKC,W,107,101.0,6.0,1
2023-24,2024-01-31,MIN vs. DAL,W,121,87.0,34.0,1
2023-24,2024-02-02,MIN vs. ORL,L,106,108.0,-2.0,0
2023-24,2024-02-04,MIN vs. HOU,W,111,90.0,21.0,1
2023-24,2024-02-06,MIN @ CHI,L,123,129.0,-6.0,0
2023-24,2024-02-08,MIN @ MIL,W,129,105.0,24.0,1
2023-24,2024-02-12,MIN @ LAC,W,121,100.0,21.0,1
2023-24,2024-02-13,MIN @ POR,W,121,109.0,12.0,1
2023-24,2024-02-15,MIN @ POR,W,128,91.0,37.0,1
2023-24,2024-02-23,MIN vs. MIL,L,107,112.0,-5.0,0
2023-24,2024-02-24,MIN vs. BKN,W,101,86.0,15.0,1
2023-24,2024-02-27,MIN vs. SAS,W,114,105.0,9.0,1
2023-24,2024-02-28,MIN vs. MEM,W,110,101.0,9.0,1
2023-24,2024-03-01,MIN vs. SAC,L,120,124.0,-4.0,0
2023-24,2024-03-03,MIN vs. LAC,L,88,89.0,-1.0,0
2023-24,2024-03-04,MIN vs. POR,W,119,114.0,5.0,1
2023-24,2024-03-07,MIN @ IND,W,113,111.0,2.0,1
2023-24,2024-03-08,MIN @ CLE,L,104,113.0,-9.0,0
2023-24,2024-03-10,MIN @ LAL,L,109,120.0,-11.0,0
2023-24,2024-03-12,MIN @ LAC,W,118,100.0,18.0,1
2023-24,2024-03-16,MIN @ UTA,W,119,100.0,19.0,1
2023-24,2024-03-18,MIN @ UTA,W,114,104.0,10.0,1
2023-24,2024-03-19,MIN vs. DEN,L,112,115.0,-3.0,0
2023-24,2024-03-22,MIN vs. CLE,W,104,91.0,13.0,1
2023-24,2024-03-24,MIN vs. GSW,W,114,110.0,4.0,1
2023-24,2024-03-27,MIN vs. DET,W,106,91.0,15.0,1
2023-24,2024-03-29,MIN @ DEN,W,111,98.0,13.0,1
2023-24,2024-03-31,MIN vs. CHI,L,101,109.0,-8.0,0
2023-24,2024-04-02,MIN vs. HOU,W,113,106.0,7.0,1
2023-24,2024-04-03,MIN vs. TOR,W,133,85.0,48.0,1
2023-24,2024-04-05,MIN @ PHX,L,87,97.0,-10.0,0
2023-24,2024-04-07,MIN @ LAL,W,127,117.0,10.0,1
2023-24,2024-04-09,MIN vs. WAS,W,130,121.0,9.0,1
2023-24,2024-04-10,MIN @ DEN,L,107,116.0,-9.0,0
2023-24,2024-04-12,MIN vs. ATL,W,109,106.0,3.0,1
2023-24,2024-04-14,MIN vs. PHX,L,106,125.0,-19.0,0
2024-25,2024-10-22,MIN @ LAL,L,103,110.0,-7.0,0
2024-25,2024-10-24,MIN @ SAC,W,117,115.0,2.0,1
2024-25,2024-10-26,MIN vs. TOR,W,112,101.0,11.0,1
2024-25,2024-10-29,MIN vs. DAL,L,114,120.0,-6.0,0
2024-25,2024-11-01,MIN vs. DEN,W,119,116.0,3.0,1
2024-25,2024-11-02,MIN @ SAS,L,103,113.0,-10.0,0
2024-25,2024-11-04,MIN vs. CHA,W,114,93.0,21.0,1
2024-25,2024-11-07,MIN @ CHI,W,135,119.0,16.0,1
2024-25,2024-11-08,MIN vs. POR,W,127,102.0,25.0,1
2024-25,2024-11-10,MIN vs. MIA,L,94,95.0,-1.0,0
2024-25,2024-11-12,MIN @ POR,L,108,122.0,-14.0,0
2024-25,2024-11-13,MIN @ POR,L,98,106.0,-8.0,0
2024-25,2024-11-15,MIN @ SAC,W,130,126.0,4.0,1
2024-25,2024-11-17,MIN vs. PHX,W,120,117.0,3.0,1
2024-25,2024-11-21,MIN @ TOR,L,105,110.0,-5.0,0
2024-25,2024-11-24,MIN @ BOS,L,105,107.0,-2.0,0
2024-25,2024-11-26,MIN vs. HOU,L,111,117.0,-6.0,0
2024-25,2024-11-27,MIN vs. SAC,L,104,115.0,-11.0,0
2024-25,2024-11-29,MIN vs. LAC,W,93,92.0,1.0,1
2024-25,2024-12-02,MIN vs. LAL,W,109,80.0,29.0,1
2024-25,2024-12-04,MIN @ LAC,W,108,80.0,28.0,1
2024-25,2024-12-06,MIN @ GSW,W,107,90.0,17.0,1
2024-25,2024-12-08,MIN @ GSW,L,106,114.0,-8.0,0
2024-25,2024-12-13,MIN vs. LAL,W,97,87.0,10.0,1
2024-25,2024-12-15,MIN @ SAS,W,106,92.0,14.0,1
2024-25,2024-12-19,MIN vs. NYK,L,107,133.0,-26.0,0
2024-25,2024-12-21,MIN vs. GSW,L,103,113.0,-10.0,0
2024-25,2024-12-23,MIN @ ATL,L,104,117.0,-13.0,0
2024-25,2024-12-25,MIN @ DAL,W,105,99.0,6.0,1
2024-25,2024-12-27,MIN @ HOU,W,113,112.0,1.0,1
2024-25,2024-12-29,MIN vs. SAS,W,112,110.0,2.0,1
2024-25,2024-12-31,MIN @ OKC,L,105,113.0,-8.0,0
2024-25,2025-01-02,MIN vs. BOS,L,115,118.0,-3.0,0
2024-25,2025-01-04,MIN @ DET,L,105,119.0,-14.0,0
2024-25,2025-01-06,MIN vs. LAC,W,108,106.0,2.0,1
2024-25,2025-01-07,MIN @ NOP,W,104,97.0,7.0,1
2024-25,2025-01-09,MIN @ ORL,W,104,89.0,15.0,1
2024-25,2025-01-11,MIN vs. MEM,L,125,127.0,-2.0,0
2024-25,2025-01-13,MIN @ WAS,W,120,106.0,14.0,1
2024-25,2025-01-15,MIN vs. GSW,L,115,116.0,-1.0,0
2024-25,2025-01-17,MIN @ NYK,W,116,99.0,17.0,1
2024-25,2025-01-18,MIN vs. CLE,L,117,124.0,-7.0,0
2024-25,2025-01-20,MIN @ MEM,L,106,108.0,-2.0,0
2024-25,2025-01-22,MIN @ DAL,W,115,114.0,1.0,1
2024-25,2025-01-25,MIN vs. DEN,W,133,104.0,29.0,1
2024-25,2025-01-27,MIN vs. ATL,W,100,92.0,8.0,1
2024-25,2025-01-29,MIN @ PHX,W,121,113.0,8.0,1
2024-25,2025-01-30,MIN @ UTA,W,138,113.0,25.0,1
2024-25,2025-02-01,MIN vs. WAS,L,103,105.0,-2.0,0
2024-25,2025-02-03,MIN vs. SAC,L,114,116.0,-2.0,0
2024-25,2025-02-05,MIN vs. CHI,W,127,108.0,19.0,1
2024-25,2025-02-06,MIN vs. HOU,W,127,114.0,13.0,1
2024-25,2025-02-08,MIN vs. POR,W,114,98.0,16.0,1
2024-25,2025-02-10,MIN @ CLE,L,107,128.0,-21.0,0
2024-25,2025-02-12,MIN vs. MIL,L,101,103.0,-2.0,0
2024-25,2025-02-13,MIN vs. OKC,W,116,101.0,15.0,1
2024-25,2025-02-21,MIN @ HOU,L,115,121.0,-6.0,0
2024-25,2025-02-23,MIN vs. OKC,L,123,130.0,-7.0,0
2024-25,2025-02-24,MIN @ OKC,W,131,128.0,3.0,1
2024-25,2025-02-27,MIN @ LAL,L,102,111.0,-9.0,0
2024-25,2025-02-28,MIN @ UTA,L,116,117.0,-1.0,0
2024-25,2025-03-02,MIN @ PHX,W,116,98.0,18.0,1
2024-25,2025-03-04,MIN vs. PHI,W,126,112.0,14.0,1
2024-25,2025-03-05,MIN @ CHA,W,125,110.0,15.0,1
2024-25,2025-03-07,MIN @ MIA,W,106,104.0,2.0,1
2024-25,2025-03-09,MIN vs. SAS,W,141,124.0,17.0,1
2024-25,2025-03-12,MIN @ DEN,W,115,95.0,20.0,1
2024-25,2025-03-14,MIN vs. ORL,W,118,111.0,7.0,1
2024-25,2025-03-16,MIN vs. UTA,W,128,102.0,26.0,1
2024-25,2025-03-17,MIN vs. IND,L,130,132.0,-2.0,0
2024-25,2025-03-19,MIN vs. NOP,L,115,119.0,-4.0,0
2024-25,2025-03-21,MIN vs. NOP,W,134,93.0,41.0,1
2024-25,2025-03-24,MIN @ IND,L,103,119.0,-16.0,0
2024-25,2025-03-28,MIN vs. PHX,W,124,109.0,15.0,1
2024-25,2025-03-30,MIN vs. DET,W,123,104.0,19.0,1
2024-25,2025-04-01,MIN @ DEN,W,140,139.0,1.0,1
2024-25,2025-04-03,MIN @ BKN,W,105,90.0,15.0,1
2024-25,2025-04-05,MIN @ PHI,W,114,109.0,5.0,1
2024-25,2025-04-08,MIN @ MIL,L,103,110.0,-7.0,0
2024-25,2025-04-10,MIN @ MEM,W,141,125.0,16.0,1
2024-25,2025-04-11,MIN vs. BKN,W,117,91.0,26.0,1
2024-25,2025-04-13,MIN vs. UTA,W,116,105.0,11.0,1
